study_name,island,clutch_completion,date_egg,bill_length,bill_depth,flipper_length,body_mass,sex,delta_15,delta_13,study_day
PAL0708,Torgersen,Yes,2007-11-11,39.5,17.4,186.0,3800.0,FEMALE,8.94956,-24.69454,2
PAL0708,Torgersen,Yes,2007-11-16,40.3,18.0,195.0,3250.0,FEMALE,8.36821,-25.33302,7
PAL0708,Torgersen,Yes,2007-11-16,36.7,19.3,193.0,3450.0,FEMALE,8.76651,-25.32426,7
PAL0708,Torgersen,Yes,2007-11-16,39.3,20.6,190.0,3650.0,MALE,8.66496,-25.29805,7
PAL0708,Torgersen,No,2007-11-15,38.9,17.8,181.0,3625.0,FEMALE,9.18718,-25.21799,6
PAL0708,Torgersen,No,2007-11-15,39.2,19.6,195.0,4675.0,MALE,9.4606,-24.89958,6
PAL0708,Torgersen,Yes,2007-11-16,34.6,21.1,198.0,4400.0,MALE,8.55583,-25.22588,7
PAL0708,Torgersen,Yes,2007-11-12,38.7,19.0,195.0,3450.0,FEMALE,9.18528,-25.06691,3
PAL0708,Torgersen,Yes,2007-11-12,42.5,20.7,197.0,4500.0,MALE,8.67538,-25.13993,3
PAL0708,Torgersen,Yes,2007-11-16,34.4,18.4,184.0,3325.0,FEMALE,8.47827,-25.23319,7
PAL0708,Torgersen,Yes,2007-11-16,46.0,21.5,194.0,4200.0,MALE,9.11616,-24.77227,7
PAL0708,Biscoe,Yes,2007-11-12,37.8,18.3,174.0,3400.0,FEMALE,8.73762,-25.09383,3
PAL0708,Biscoe,Yes,2007-11-12,37.7,18.7,180.0,3600.0,MALE,8.66271,-25.0639,3
PAL0708,Biscoe,Yes,2007-11-12,35.9,19.2,189.0,3800.0,FEMALE,9.22286,-25.03474,3
PAL0708,Biscoe,Yes,2007-11-12,38.2,18.1,185.0,3950.0,MALE,8.43423,-25.22664,3
PAL0708,Biscoe,Yes,2007-11-10,38.8,17.2,180.0,3800.0,MALE,9.63954,-25.29856,1
PAL0708,Biscoe,Yes,2007-11-10,35.3,18.9,187.0,3800.0,FEMALE,9.21292,-24.3613,1
PAL0708,Biscoe,Yes,2007-11-12,40.6,18.6,183.0,3550.0,MALE,8.93997,-25.36288,3
PAL0708,Biscoe,Yes,2007-11-12,40.5,17.9,187.0,3200.0,FEMALE,8.08138,-25.49448,3
PAL0708,Biscoe,No,2007-11-10,37.9,18.6,172.0,3150.0,FEMALE,8.38404,-25.19837,1
PAL0708,Biscoe,No,2007-11-10,40.5,18.9,180.0,3950.0,MALE,8.90027,-25.11609,1
PAL0708,Dream,Yes,2007-11-09,39.5,16.7,178.0,3250.0,FEMALE,9.69756,-25.11223,0
PAL0708,Dream,Yes,2007-11-09,37.2,18.1,178.0,3900.0,MALE,9.72764,-25.0102,0
PAL0708,Dream,Yes,2007-11-09,39.5,17.8,188.0,3300.0,FEMALE,9.66523,-25.0602,0
PAL0708,Dream,Yes,2007-11-09,40.9,18.9,184.0,3900.0,MALE,8.79665,-25.14591,0
PAL0708,Dream,Yes,2007-11-16,36.4,17.0,195.0,3325.0,FEMALE,9.17847,-25.23061,7
PAL0708,Dream,Yes,2007-11-16,39.2,21.1,196.0,4150.0,MALE,9.15308,-25.03469,7
