study_name,island,clutch_completion,date_egg,bill_length,bill_depth,flipper_length,body_mass,sex,delta_15,delta_13,study_day
PAL0708,Dream,No,2007-11-19,46.5,17.9,192.0,3500.0,FEMALE,9.03935,-24.30229,10
PAL0708,Dream,No,2007-11-19,50.0,19.5,196.0,3900.0,MALE,8.92069,-24.23592,10
PAL0708,Dream,Yes,2007-11-26,51.3,19.2,193.0,3650.0,MALE,9.29078,-24.7557,17
PAL0708,Dream,Yes,2007-11-26,45.4,18.7,188.0,3525.0,FEMALE,8.64701,-24.62717,17
PAL0708,Dream,Yes,2007-11-21,52.7,19.8,197.0,3725.0,MALE,9.00642,-24.61867,12
PAL0708,Dream,Yes,2007-11-21,45.2,17.8,198.0,3950.0,FEMALE,8.88942,-24.49433,12
PAL0708,Dream,Yes,2007-11-28,46.1,18.2,178.0,3250.0,FEMALE,8.85664,-24.55644,19
PAL0708,Dream,Yes,2007-11-28,51.3,18.2,197.0,3750.0,MALE,8.63701,-24.84059,19
PAL0708,Dream,Yes,2007-11-21,46.0,18.9,195.0,4150.0,FEMALE,8.47173,-24.29229,12
PAL0708,Dream,Yes,2007-11-21,51.3,19.9,198.0,3700.0,MALE,8.79581,-24.36088,12
PAL0708,Dream,Yes,2007-11-28,46.6,17.8,193.0,3800.0,FEMALE,8.95063,-24.59897,19
PAL0708,Dream,Yes,2007-11-28,51.7,20.3,194.0,3775.0,MALE,8.68747,-24.38751,19
PAL0708,Dream,Yes,2007-11-26,47.0,17.3,185.0,3700.0,FEMALE,8.72037,-24.80526,17
PAL0708,Dream,Yes,2007-11-26,52.0,18.1,201.0,4050.0,MALE,9.0233,-24.38933,17
PAL0708,Dream,Yes,2007-11-22,45.9,17.1,190.0,3575.0,FEMALE,9.12277,-24.90024,13
PAL0708,Dream,Yes,2007-11-22,50.5,19.6,201.0,4050.0,MALE,9.8059,-24.7294,13
PAL0708,Dream,No,2007-11-30,50.3,20.0,197.0,3300.0,MALE,10.02019,-24.54704,21
PAL0708,Dream,No,2007-11-30,58.0,17.8,181.0,3700.0,FEMALE,9.14382,-24.57994,21
PAL0708,Dream,Yes,2007-11-30,46.4,18.6,190.0,3450.0,FEMALE,9.32105,-24.64162,21
PAL0708,Dream,Yes,2007-11-30,49.2,18.2,195.0,4400.0,MALE,9.27158,-24.64335,21
PAL0708,Dream,Yes,2007-12-03,42.4,17.3,181.0,3600.0,FEMALE,9.35138,-24.6879,24
PAL0708,Dream,Yes,2007-12-03,48.5,17.5,191.0,3400.0,MALE,9.42666,-24.26375,24
PAL0708,Dream,No,2007-11-28,43.2,16.6,187.0,2900.0,FEMALE,9.35416,-25.01185,19
PAL0708,Dream,No,2007-11-28,50.6,19.4,193.0,3800.0,MALE,9.28153,-24.97134,19
PAL0708,Dream,No,2007-11-28,46.7,17.9,195.0,3300.0,FEMALE,9.74144,-24.59467,19
PAL0708,Dream,No,2007-11-28,52.0,19.0,197.0,4150.0,MALE,9.36799,-24.47142,19
PAL0809,Dream,No,2008-11-25,50.5,18.4,200.0,3400.0,FEMALE,8.9399,-23.89017,382
PAL0809,Dream,No,2008-11-25,49.5,19.0,200.0,3800.0,MALE,9.63074,-24.34684,382
PAL0809,Dream,Yes,2008-11-14,46.4,17.8,191.0,3700.0,FEMALE,9.37369,-24.52896,371
PAL0809,Dream,Yes,2008-11-14,52.8,20.0,205.0,4550.0,MALE,9.25177,-24.69638,371
PAL0809,Dream,Yes,2008-11-24,40.9,16.6,187.0,3200.0,FEMALE,9.08458,-24.54903,381
PAL0809,Dream,Yes,2008-11-24,54.2,20.8,201.0,4300.0,MALE,9.49283,-24.59996,381
PAL0809,Dream,Yes,2008-11-24,42.5,16.7,187.0,3350.0,FEMALE,9.36668,-24.45195,381
PAL0809,Dream,Yes,2008-11-24,51.0,18.8,203.0,4100.0,MALE,9.23196,-24.17282,381
PAL0809,Dream,Yes,2008-11-25,49.7,18.6,195.0,3600.0,MALE,9.75486,-24.31198,382
PAL0809,Dream,Yes,2008-11-25,47.5,16.8,199.0,3900.0,FEMALE,9.07825,-25.1455,382
PAL0809,Dream,Yes,2008-11-14,47.6,18.3,195.0,3850.0,FEMALE,8.83502,-24.65859,371
PAL0809,Dream,Yes,2008-11-14,52.0,20.7,210.0,4800.0,MALE,9.43146,-24.6844,371
PAL0809,Dream,No,2008-11-24,46.9,16.6,192.0,2700.0,FEMALE,9.80589,-24.73735,381
PAL0809,Dream,No,2008-11-24,53.5,19.9,205.0,4500.0,MALE,10.02544,-24.90816,381
