study_name,island,clutch_completion,date_egg,bill_length,bill_depth,flipper_length,body_mass,sex,delta_15,delta_13,study_day
PAL0708,Biscoe,Yes,2007-11-27,46.1,13.2,211.0,4500.0,FEMALE,7.993,-25.5139,18
PAL0708,Biscoe,Yes,2007-11-27,50.0,16.3,230.0,5700.0,MALE,8.14756,-25.39369,18
PAL0708,Biscoe,Yes,2007-11-27,48.7,14.1,210.0,4450.0,FEMALE,8.14705,-25.46172,18
PAL0708,Biscoe,Yes,2007-11-27,50.0,15.2,218.0,5700.0,MALE,8.2554,-25.40075,18
PAL0708,Biscoe,Yes,2007-11-18,47.6,14.5,215.0,5400.0,MALE,8.2345,-25.54456,9
PAL0708,Biscoe,Yes,2007-11-18,46.5,13.5,210.0,4550.0,FEMALE,7.9953,-25.32829,9
PAL0708,Biscoe,Yes,2007-11-27,45.4,14.6,211.0,4800.0,FEMALE,8.24515,-25.46782,18
PAL0708,Biscoe,Yes,2007-11-27,46.7,15.3,219.0,5200.0,MALE,8.22673,-25.4276,18
PAL0708,Biscoe,Yes,2007-11-27,43.3,13.4,209.0,4400.0,FEMALE,8.13643,-25.32176,18
PAL0708,Biscoe,Yes,2007-11-27,46.8,15.4,215.0,5150.0,MALE,8.1631,-25.38017,18
PAL0708,Biscoe,No,2007-11-27,40.9,13.7,214.0,4650.0,FEMALE,8.19579,-25.3933,18
PAL0708,Biscoe,No,2007-11-27,49.0,16.1,216.0,5550.0,MALE,8.10417,-25.50562,18
PAL0708,Biscoe,Yes,2007-11-29,45.5,13.7,214.0,4650.0,FEMALE,7.77672,-25.4168,20
PAL0708,Biscoe,Yes,2007-11-29,48.4,14.6,213.0,5850.0,MALE,7.8208,-25.48025,20
PAL0708,Biscoe,Yes,2007-12-03,45.8,14.6,210.0,4200.0,FEMALE,7.79958,-25.62618,24
PAL0708,Biscoe,Yes,2007-12-03,49.3,15.7,217.0,5850.0,MALE,8.07137,-25.52473,24
PAL0708,Biscoe,Yes,2007-11-27,42.0,13.5,210.0,4150.0,FEMALE,7.63884,-25.52627,18
PAL0708,Biscoe,Yes,2007-11-27,49.2,15.2,221.0,6300.0,MALE,8.27376,-25.00169,18
PAL0708,Biscoe,Yes,2007-11-27,46.2,14.5,209.0,4800.0,FEMALE,7.84057,-25.37899,18
PAL0708,Biscoe,Yes,2007-11-27,48.7,15.1,222.0,5350.0,MALE,7.96491,-25.39587,18
PAL0708,Biscoe,Yes,2007-11-27,50.2,14.3,218.0,5700.0,MALE,7.8962,-25.37746,18
PAL0708,Biscoe,Yes,2007-11-27,45.1,14.5,215.0,5000.0,FEMALE,7.6322,-25.46569,18
PAL0708,Biscoe,Yes,2007-11-27,46.5,14.5,213.0,4400.0,FEMALE,7.90436,-25.3947,18
PAL0708,Biscoe,Yes,2007-11-27,46.3,15.8,215.0,5050.0,MALE,7.90971,-25.38157,18
PAL0708,Biscoe,Yes,2007-11-29,42.9,13.1,215.0,5000.0,FEMALE,7.68528,-25.39181,20
PAL0708,Biscoe,Yes,2007-11-29,46.1,15.1,215.0,5100.0,MALE,7.83733,-25.42826,20
PAL0708,Biscoe,Yes,2007-11-29,47.8,15.0,215.0,5650.0,MALE,7.92358,-25.48383,20
PAL0708,Biscoe,Yes,2007-11-29,48.2,14.3,210.0,4600.0,FEMALE,7.6887,-25.50811,20
PAL0708,Biscoe,Yes,2007-11-29,50.0,15.3,220.0,5550.0,MALE,8.30515,-25.19017,20
PAL0708,Biscoe,Yes,2007-11-29,42.8,14.2,209.0,4700.0,FEMALE,7.63452,-25.46327,20
PAL0708,Biscoe,Yes,2007-12-03,45.1,14.5,207.0,5050.0,FEMALE,7.97408,-25.53768,24
PAL0708,Biscoe,Yes,2007-12-03,59.6,17.0,230.0,6050.0,MALE,7.76843,-25.6821,24
PAL0809,Biscoe,Yes,2008-11-13,49.1,14.8,220.0,5150.0,FEMALE,7.89744,-26.63405,370
PAL0809,Biscoe,Yes,2008-11-13,48.4,16.3,220.0,5400.0,MALE,8.03659,-26.86127,370
PAL0809,Biscoe,Yes,2008-11-02,42.6,13.7,213.0,4950.0,FEMALE,7.96935,-26.70968,359
PAL0809,Biscoe,Yes,2008-11-02,44.4,17.3,219.0,5250.0,MALE,8.13746,-26.79093,359
PAL0809,Biscoe,Yes,2008-11-09,44.0,13.6,208.0,4350.0,FEMALE,8.01979,-26.68311,366
PAL0809,Biscoe,Yes,2008-11-09,48.7,15.7,208.0,5350.0,MALE,8.14776,-26.84506,366
PAL0809,Biscoe,No,2008-11-04,42.7,13.7,208.0,3950.0,FEMALE,8.14567,-26.59467,361
PAL0809,Biscoe,No,2008-11-04,49.6,16.0,225.0,5700.0,MALE,8.38324,-26.84272,361
PAL0809,Biscoe,Yes,2008-11-04,45.3,13.7,210.0,4300.0,FEMALE,8.37615,-26.72791,361
PAL0809,Biscoe,Yes,2008-11-04,49.6,15.0,216.0,4750.0,MALE,8.26548,-26.7699,361
PAL0809,Biscoe,Yes,2008-11-03,50.5,15.9,222.0,5550.0,MALE,8.46894,-26.60436,360
