Event Name,Runner,Score,Tournament,Winner,Year,Rank
Australian Open,Rainer Schüttler,"6–2, 6–2, 6–1",2003 Australian Open,Andre Agassi,2003,1
Roland Garros,Martin Verkerk,"6–1, 6–3, 6–2",2003 Roland Garros,Juan Carlos Ferrero,2003,2
US Open,Juan Carlos Ferrero," 6–3, 7–6(7–2), 6–3",2003 US Open,Andy Roddick,2003,4
Wimbledon,Mark Philippoussis,"7–6(7–5), 6–2, 7–6(7–3)",2003 Wimbledon,Roger Federer,2003,3
Australian Open,Marat Safin,"7–6(7-3), 6–4, 6–2",2004 Australian Open,Roger Federer,2004,5
Roland Garros,Guillermo Coria,"0–6, 3–6, 6–4, 6–1, 8–6",2004 Roland Garros,Gastón Gaudio,2004,6
US Open,Lleyton Hewitt,"6–0, 7–6(7–3), 6–0",2004 US Open,Roger Federer,2004,8
Wimbledon,Andy Roddick,"4–6, 7–5, 7–6(7-3), 6–4",2004 Wimbledon,Roger Federer,2004,7
Australian Open,Lleyton Hewitt,"1–6, 6–3, 6–4, 6–4",2005 Australian Open,Marat Safin,2005,9
Roland Garros,Mariano Puerta,"6–7(6–8), 6–3, 6–1, 7–5",2005 Roland Garros,Rafael Nadal,2005,10
US Open,Andre Agassi,"6–3, 2–6, 7–6(7–1), 6–1",2005 US Open,Roger Federer,2005,12
Wimbledon,Andy Roddick,"6–2, 7–6(7–2), 6–4",2005 Wimbledon,Roger Federer,2005,11
Australian Open,Marcos Baghdatis,"5–7, 7–5, 6–0, 6–2",2006 Australian Open,Roger Federer,2006,13
Roland Garros,Roger Federer,"1–6, 6–1, 6–4, 7–6(7-4)",2006 Roland Garros,Rafael Nadal,2006,14
US Open,Andy Roddick,"6–2, 4–6, 7–5, 6–1",2006 US Open,Roger Federer,2006,16
Wimbledon,Rafael Nadal,"6–0, 7–6(7–5), 6–7(2–7), 6–3",2006 Wimbledon,Roger Federer,2006,15
Australian Open,Fernando González,"7–6(7-2), 6–4, 6–4",2007 Australian Open,Roger Federer,2007,17
Roland Garros,Roger Federer,"6–3, 4–6, 6–3, 6–4",2007 Roland Garros,Rafael Nadal,2007,18
US Open,Novak Djokovic,"7–6, 7–6, 6–4",2007 US Open,Roger Federer,2007,20
